iter	Passed	Remaining
0	0	72
1	1	75
2	2	70
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	60
10	7	60
11	8	61
12	9	60
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	14	57
20	14	56
21	15	55
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	21	48
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	26	44
37	27	44
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
